TSN,TSR,CSN,CSR,PN
"38,805","11,839","6,574","2,597",9049385-5
"32,505","15,839","4,951","3,154",9049385-7
"20,617","20,617","3,035","3,035",9049385-7
"42,015","14,547","6,889","2,988",9049385-5
"29,386",288,"5,578",70,9049385-5
"27,530","13,304","5,136","2,830",9049385-7
"11,390","11,390","2,451","2,451",9049385-7
"27,030","11,691","4,542","2,600",9049385-7
"43,759","15,571","6,252","3,070",9049385-5
"42,231","22,548","6,487","3,549",9049385-5
"19,753","19,753","2,941","2,941",9049385-5
"29,162","29,162","5,658","5,658",9049385-7
"36,153","15,100","6,484","2,963",9049385-7
"8,196","8,196",916,916,9049385-7
"33,393","13,856","5,967","2,927",9049385-7
"16,554","16,554","3,259","3,259",9049385-7
"12,365","12,365","3,006","3,006",9049385-7
"12,365","12,365","3,006","3,006",9049385-7
"18,130","18,130","3,739","3,739",9049385-7
"36,297","15,219","6,472","3,189",9049385-7
"18,902","18,902","3,837","3,837",9049385-7
"29,481","13,684","5,643","3,059",9049385-7
"43,823","24,956","6,836","3,562",9049385-5
"18,412","18,412","3,783","3,783",9049385-7
"29,191","29,191","4,879","4,879",9049385-7
"45,853","27,640","7,899","5,010",9049385-5
"45,759","6,794","7,378","1,325",9049385-5
"32,617","17,851","4,806","3,064",9049385-7
"60,066","20,742","9,230","3,066",9049385-5
"49,187","27,378","7,229","4,917",9049385-5
"52,106","32,424","7,489","4,412",9049385-5
"44,060","8,549","6,514","1,636",9049385-5
"51,267","26,208","7,904","4,112",9049385-5
"9,395","9,395","1,045","1,045",9049385-7
"40,451","21,442","7,405","4,578",9049385-5
"63,311","13,721","10,893","3,088",9049385-5
"35,160","29,096","6,237","5,153",9049385-5
"30,619","7,274","6,155",312,9049385-7
"22,612","14,237","4,033","2,508",9049385-7
"59,045","26,184","10,428","4,778",9049385-5
"55,346","12,979","8,468","2,669",9049385-5
"16,844","16,844","3,438","3,438",9049385-7
"48,229","5,024","7,518","1,165",9049385-5
"13,574","13,574","3,147","3,147",9049385-7
"15,278","15,278","3,765","3,765",9049385-7
"37,773","21,121","6,101","3,615",9049385-7
"28,854","28,854","5,893","5,893",9049385-7
"22,928","22,928","3,951","3,951",9049385-7
"47,319","21,627","7,093","3,876",9049385-7
"16,129","11,086","3,658","2,613",9049385-7
"39,833","21,860","5,824","3,800",9049385-7
"19,133","19,133","3,984","3,984",9049385-7
,,,,
